,Team,Team,Team,Team,Team
Squad,PPM,onG,onGA,onxG,onxGA
gr AEK Athens,0.00,2,13,4.1,12.4
nl Ajax,1.83,22,13,21.9,15.7
es Atlético Madrid,2.00,11,9,7.7,7.9
es Barcelona,2.25,26,10,22.9,14.0
de Bayern Munich,1.88,16,8,12.9,10.1
pt Benfica,1.17,6,11,8.2,10.1
be Club Brugge,1.00,6,5,5.1,6.4
ru CSKA Moscow,1.17,8,9,7.1,9.7
de Dortmund,1.63,10,6,11.6,6.3
tr Galatasaray,0.67,5,8,9.1,9.2
de Hoffenheim,0.50,11,14,10.9,12.2
it Inter,1.33,6,7,8.8,7.8
it Juventus,1.60,14,9,18.0,9.6
eng Liverpool,1.92,24,12,23.9,13.6
ru Loko Moscow,0.50,4,12,6.8,8.6
fr Lyon,1.13,13,16,12.1,17.0
eng Manchester City,2.20,30,12,22.2,10.7
eng Manchester Utd,1.30,10,11,10.9,11.5
fr Monaco,0.17,2,14,4.7,10.5
it Napoli,1.50,7,5,10.1,5.9
fr Paris S-G,1.75,20,12,15.0,10.2
pt Porto,1.90,20,15,15.9,17.2
nl PSV Eindhoven,0.33,6,13,7.3,12.7
es Real Madrid,1.88,15,10,14.2,10.4
rs Red Star,0.67,5,17,2.7,17.0
it Roma,1.50,14,12,13.9,12.0
de Schalke 04,1.38,8,14,10.2,12.2
ua Shakhtar,1.00,8,16,5.7,13.1
eng Tottenham,1.54,20,19,19.2,14.3
es Valencia,1.33,6,6,6.6,10.5
cz Viktoria Plzeň,1.17,7,16,7.0,12.0
ch Young Boys,0.67,4,12,7.1,12.9
