,Drib
Squad,Succ%
gr AEK Athens,60.4
nl Ajax,59.3
es Atlético Madrid,57.0
es Barcelona,66.4
de Bayern Munich,52.2
pt Benfica,53.6
be Club Brugge,67.3
ru CSKA Moscow,57.0
de Dortmund,62.7
tr Galatasaray,67.3
de Hoffenheim,64.9
it Inter,50.0
it Juventus,61.3
eng Liverpool,61.8
ru Loko Moscow,64.9
fr Lyon,66.9
eng Manchester City,66.1
eng Manchester Utd,60.3
fr Monaco,65.4
it Napoli,61.1
fr Paris S-G,64.6
pt Porto,53.0
nl PSV Eindhoven,57.8
es Real Madrid,64.1
rs Red Star,67.1
it Roma,54.2
de Schalke 04,55.7
ua Shakhtar,54.2
eng Tottenham,64.8
es Valencia,62.2
cz Viktoria Plzeň,53.2
ch Young Boys,60.5
